Parameter,Value,log10stddev
k_tx,20.0,1
K_tx,10.0,1
k_rna_deg,0.00078,1
k_tl,16.0,1
K_tl,65.8,1
k_prot_deg,0.0,1
k_mat,0.2,1
k_csy4,2.9,1
k_tl_unbound_toehold,0.01,4
k_tl_bound_toehold,0.5,4
k_trigger_binding,0.05,4
k_trigger_unbinding,0.5,4
k_tx_init,1.0,4
k_star_bind,5.0,4
k_star_unbind,0.1,4
k_star_act,1.0,4
k_star_act_reg,3.0,4
k_star_stop,4.0,4
k_star_stop_reg,0.01,4
k_sequestration_bind,100.0,4
k_sequestration_unbind,0.1,4
k_tx_bind,0.01,
k_tx_unbind,0.08,
k_tx_cat,0.02,
k_tl_bind,0.01,
k_tl_unbind,0.642,
k_tl_cat,0.016,
rnap_0,1000.0,
ribosome_0,1000.0,
k_tx_bind_star,3.0,
k_tx_cat_star,6.0,
k_tl_bind_unbound,0.001,
k_tl_cat_unbound,0.0016,
k_tl_bind_bound,0.5,
k_tl_cat_bound,0.8,
